page_humaine,document,page,feuille_ia,plan_ia,methode,score,transformation,dims_humain,marques_humain,doublons,marques_ia_feuille,appariees,manquantes_ia,en_trop_ia_feuille,lignes_humain,lignes_ia_feuille,second_candidat,note
Électrique_Plans pour soumission - 4,Électrique_Plans pour soumission,4,E102,E102,nom,0.182,"0°, échelle x=0.7072 y=0.7074, translation (0, 0) px IA",8051x5694 (fichier de dimensions),11,0,6,2,9,4,8,0,E201_ADD (0.45),recalage faible (identité 0.18) : aucune autre feuille IA ne dépasse 0.8 ; appariement par nom conservé
Électrique_Plans pour soumission - 5,Électrique_Plans pour soumission,5,E201_ADD,E201,géométrie,1.000,"0°, échelle x=0.7081 y=0.7063, translation (-8, -8) px IA",8051x5694 (fichier de dimensions),154,0,160,152,2,2,6,0,E301_ADD (0.73),le nom désignait E201 (score identité 0.00) ; la géométrie désigne E201_ADD
Électrique_Plans pour soumission - 6,Électrique_Plans pour soumission,6,E301_ADD,E301,géométrie,1.000,"0°, échelle x=0.7035 y=0.7287, translation (18, -38) px IA",8051x5694 (fichier de dimensions),82,0,90,73,9,17,15,0,E201_ADD (0.99),le nom désignait E301 (score identité 0.00) ; la géométrie désigne E301_ADD ; AMBIGU : E201_ADD obtient 0.99
Électrique_Plans pour soumission - 11,Électrique_Plans pour soumission,11,T201,T201,nom,0.943,"0°, échelle x=0.7034 y=0.6946, translation (15, 23) px IA",8051x5694 (fichier de dimensions),106,0,64,61,45,3,1,0,,
Électrique_Addenda ELE-001_Plans - 3,Électrique_Addenda ELE-001_Plans,3,E201_ADD,E201,géométrie,1.000,"0°, échelle x=0.7056 y=0.6999, translation (3, 1) px IA",8051x5694 (fichier de dimensions),6,0,160,6,0,2,0,0,E301_ADD (1.00),le nom désignait E201_ADD_2 (score identité 0.00) ; la géométrie désigne E201_ADD ; AMBIGU : E301_ADD obtient 1.00
Électrique_Addenda ELE-001_Plans - 4,Électrique_Addenda ELE-001_Plans,4,E301_ADD_2,E301_2,nom,,,8051x5694 (fichier de dimensions),0,0,0,0,0,,1,0,,page sans marque
ELectrique_Addenda ELE-002_Plans - 3,ELectrique_Addenda ELE-002_Plans,3,E003_ADD,E003,nom,0.452,"0°, échelle x=0.7077 y=0.7058, translation (53, -67) px IA",8051x5694 (fichier de dimensions),42,0,35,19,23,16,0,0,,
ELectrique_Addenda ELE-002_Plans - 5,ELectrique_Addenda ELE-002_Plans,5,E201_ADD,E201,nom,,,8051x5694 (fichier de dimensions),0,0,160,0,0,2,3,0,,page sans marque
,ELectrique_Addenda ELE-002_Plans.pdf,2,E002_ADD,E002,feuille IA sans page humaine,,,,0,0,4,0,0,4,0,0,,
