feuille,fichier,page,largeur_pt,hauteur_pt,raster_px,classement_fichier,nb_mots,jetons_frequents,titre
E001,25-0075_E_PERM_SOUM_20260507_Signed.pdf,1,2592.00,1728.00,5694x3796,plans,103,ET×7 DE×4 S×4 T.×3 LISTE×2 DES×2 PLANS×2 LÉGENDE×2 DEVIS×2 DISTRIBUTION×2 ÉCLAIRAGE×2 819×2 LA×2 -×1 ÉLECTRICITÉ×1 No.×1 TITRE×1 E001×1 E002×1 E003×1 E101×1 E201×1 E401×1 (SUITE)×1 LOCALISATION×1,SOUMISSION CONSTRUCTION LA 2026 À SERVIR MAI ET PAS 7 DOIT PERMIS NE PLAN CE
250075EPER-p02,25-0075_E_PERM_SOUM_20260507_Signed.pdf,2,2592.00,1728.00,5694x3796,plans,223,·×76 ET×8 À×5 LA×3 FUSIBLES×3 T.×3 ÉLECTRICITÉ×2 DES×2 TRAVAUX×2 SERVICES×2 DE×2 819×2 DEVIS×1 1.×1 INSTRUCTIONS×1 GÉNÉRALES×1 EN×1 1.1×1 GÉNÉRALITÉS×1 1.2×1 COORDINATION×1 1.3×1 GARANTIES×1 1.4×1 DESSINS×1,SOUMISSION CONSTRUCTION LA 2026 À SERVIR MAI ET PAS 7 DOIT PERMIS NE PLAN CE
250075EPER-p03,25-0075_E_PERM_SOUM_20260507_Signed.pdf,3,2592.00,1728.00,5694x3796,plans,104,·×11 ’×8 ET×4 DE×4 T.×3 DISPOSITIFS×2 D'ÉCLAIRAGE×2 819×2 LA×2 DEVIS×1 ÉLECTRICITÉ×1 (SUITE)×1 2.14×1 DÉMARREURS×1 CONTACTEURS×1 MAGNÉTIQUES×1 2.15×1 MÉCANIQUE×1 2.16×1 SYSTÈME×1 2.17×1 CÂBLAGE×1 2.18×1 APPAREILS×1 2.19×1,SOUMISSION CONSTRUCTION LA 2026 À SERVIR MAI ET PAS 7 DOIT PERMIS NE PLAN CE
250075EPER-p04,25-0075_E_PERM_SOUM_20260507_Signed.pdf,4,2592.00,1728.00,5694x3796,plans,95,DE×5 TABLEAU×3 DES×3 MONTAGE×3 AUCUNE×3 TYPE×3 T.×3 ÉCHELLE×2 TENSION×2 DÉTAIL×2 -×2 819×2 LA×2 DESCRIPTION×1 STANDARD×1 sans×1 obstacle×1 HAUTEURS×1 PRINCIPE×1 PRISE×1 DATA×1 /×1 TÉLÉPHONIE×1 =×1 SYMBOLE×1,SOUMISSION CONSTRUCTION LA 2026 À SERVIR MAI ET PAS 7 DOIT PERMIS NE PLAN CE
250075EPER-p05,25-0075_E_PERM_SOUM_20260507_Signed.pdf,5,2592.00,1728.00,5694x3796,plans,46,T.×3 SCHEMA×2 DE×2 DISTRIBUTION×2 ELECTRIQUE×2 819×2 LA×2 EXISTANT×1 EXSITANT×1 MODIFIÉ×1 NOTES×1 DESCRIPTIVES×1 DES×1 TRAVAUX×1 LC-ING.COM×1 477-0191×1 TUQUE×1 676-7038×1 DE-KILDARE×1 450×1 752-1106×1 PERMIS×1 ET×1 SOUMISSION×1 CE×1,SOUMISSION CONSTRUCTION LA 2026 À SERVIR MAI ET PAS 7 DOIT PERMIS NE MODIFIÉ PLAN CE ANT
250075EPER-p06,25-0075_E_PERM_SOUM_20260507_Signed.pdf,6,2592.00,1728.00,5694x3796,plans,36,"T.×3 819×2 LA×2 LOCALISATION×1 ÉCHELLE×1 1/16""×1 =×1 1'-0""×1 LC-ING.COM×1 477-0191×1 TUQUE×1 676-7038×1 DE-KILDARE×1 450×1 752-1106×1 PERMIS×1 ET×1 SOUMISSION×1 CE×1 PLAN×1 NE×1 DOIT×1 PAS×1 SERVIR×1 À×1",SOUMISSION CONSTRUCTION LA 2026 À SERVIR MAI ET PAS 7 DOIT PERMIS NE PLAN CE
E004,25-0075_E_PERM_SOUM_20260507_Signed.pdf,7,2592.00,1728.00,5694x3796,plans,83,"-×4 ÉCHELLE×4 1/8""×4 =×4 1'-0""×4 S×4 ET×3 T.×3 FRIGO×2 M.O.×2 AMÉNAGEMENT×2 ÉCLAIRAGE×2 ALARME×2 INCENDIE×2 SERVICES×2 NOTES×2 E004×2 819×2 LA×2 DESCRIPTIVES×1 DES×1 TRAVAUX×1 GÉNÉRALES×1 A×1 B×1",SOUMISSION CONSTRUCTION LA 2026 À SERVIR MAI ET PAS 7 DOIT PERMIS NE PLAN CE
