feuille,fichier,page,largeur_pt,hauteur_pt,raster_px,classement_fichier,nb_mots,jetons_frequents,titre
E001,Électrique_Plans pour soumission.pdf,1,3370.44,2383.92,5694x4028,plans,284,POUR×12 ET×9 SOUMISSIONS×9 ÉLECTRICITÉ×8 DE×7 DES×7 À×5 GÉNÉRALE×5 COULEURS×4 par:×3 CES×3 LA×3 PLAN×3 Ingénieurs×2 suite×2 Québec×2 (Québec)×2 418×2 Dossier×2 GRAPHIQUES×2 SONT×2 NE×2 DOIVENT×2 PAS×2 DU×2,0 POUR SOUMISSIONS 2026-02-06 PLANS. ELLES NE DOIVENT PAS SERVIR À L'ESTIMATION OU À LA RÉALISATION DU PROJET. CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES 
E002,Électrique_Plans pour soumission.pdf,2,3370.44,2383.92,5694x4028,plans,1446,"VA×99 A×87 1×60 15×58 DE×48 ÉCLAIRAGE×18 PRISE×16 3×14 /×13 PRISES×12 DOUBLE×11 -×10 AU×10 COURANT×10 CHAUFFAGE×10 C×10 TYPE×9 120V×9 12000×9 SALLE×8 À×8 15A,×8 (5-15R)×8 POUR×8 2×8",3#3 1#6V C.35mmø 4#500kcmil 1#3V C.103mmø 600 0 POUR SOUMISSIONS 2026-02-06 600A SF Q CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES FINS DE CONSTRUCTION. 2x(
E101,Électrique_Plans pour soumission.pdf,3,3370.44,2383.92,5694x4028,plans,794,DE×39 V×19 50×18 BÉTON×14 Non×12 1×11 120×10 K×10 lm×10 VA×10 347×10 PAVAGE×9 PVC×9 DEL×9 STELPRO×9 EN×8 COMPACTÉ×8 MASSIF×8 CONDUITS×8 75mm×8 SURFACE×8 E-101×8 W×8 CONDUIT×7 À×7,2 TYP 2 3000mm 0 POUR SOUMISSIONS 2026-02-06 3000mm CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES FINS DE CONSTRUCTION. 1 ÉLECTRICITÉ NOTES SPÉCIFIQUES TIGE 
E102,Électrique_Plans pour soumission.pdf,4,3370.44,2383.92,5694x4028,plans,451,DE×25 1×17 LA×14 E-101×9 No:×7 EH×7 PAVAGE×6 BÂTIMENT×6 ÉTAGE×6 -×6 POUR×6 À×6 CONDUIT×6 TROTTOIR×5 2×5 SALLE×5 EN×4 BANC×4 3×4 109×4 TIRAGE×4 JUSQU'À×4 DES×4 PATINOIRE×4 ET×4,0 POUR SOUMISSIONS 2026-02-06 CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES FINS DE CONSTRUCTION. NOTES SPÉCIFIQUES 1 FOURNIR UN CONDUIT DE 35mmø RELIANT LES
E201,Électrique_Plans pour soumission.pdf,5,3370.44,2383.92,5694x4028,plans,445,R1×30 L3×14 D×12 L4×10 A1×10 F×8 P1×8 7(200)×8 17(200)×8 M1×7 2(200)×7 6(200)×7 9a(200)×6 18(200)×6 16(200)×6 48(200)×6 5c(200)×5 3d(200)×5 15(200)×5 13(200)×5 11.9×4 A.4×4 DES×4 R2×4 Z1×4,P1 17(200) 0 POUR SOUMISSIONS 2026-02-06 CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES FINS DE CONSTRUCTION. ÉLECTRICITÉ Titre: Échelle: 1 : 100 ÉLECTRICITÉ 
E301,Électrique_Plans pour soumission.pdf,6,3370.44,2383.92,5694x4028,plans,400,RT×9 01×9 SE×7 1×6 DE×6 B5×5 5(600)×5 02×4 VE×4 DES×3 W.C.×3 SALLE×3 C/E×3 CE×3 03×3 36kW×3 A15×3 3(600)×3 2(600)×3 44(200)×3 12(200)×3 51(200)×3 42(200)×3 par:×3 ÉLECTRICITÉ×3,0 POUR SOUMISSIONS 2026-02-06 CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES FINS DE CONSTRUCTION. ÉLECTRICITÉ Titre: Échelle: 1 : 100 ÉLECTRICITÉ SERVICES NI
T000,Électrique_Plans pour soumission.pdf,7,3370.44,2383.92,5694x4028,plans,270,POUR×11 ET×8 SOUMISSIONS×8 DES×7 DE×6 À×5 COULEURS×4 CABLAGE×4 STRUCTURÉ×4 par:×3 CES×3 LA×3 Ingénieurs×2 suite×2 Québec×2 (Québec)×2 418×2 Dossier×2 GRAPHIQUES×2 SONT×2 NE×2 DOIVENT×2 PAS×2 DU×2 DOCUMENT×2,0 POUR SOUMISSIONS 2026-02-06 PLANS. ELLES NE DOIVENT PAS SERVIR À L'ESTIMATION OU À LA RÉALISATION DU PROJET. CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES 
T001,Électrique_Plans pour soumission.pdf,8,3370.44,2383.92,5694x4028,plans,1002,"DE×95 AU×21 SORTIE×19 À×18 POUR×16 DES×15 SYSTÈME×12 INDIQUE×11 TYPE×10 DU×10 1×8 LES×8 ""1""×7 POSTE×6 LE×6 LA×6 DÉTECTION×6 D'INTRUSION×6 BOÎTE×6 AVEC×6 ★×6 HORLOGE×6 LC×6 ET×5 HAUT-PARLEUR×5",0 POUR SOUMISSIONS 2026-02-06 CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES FINS DE CONSTRUCTION. TÉLÉCOMMUNICATION Titre: Échelle: TÉLÉCOMMUNICATION CABLAGE
T100,Électrique_Plans pour soumission.pdf,9,3370.44,2383.92,5694x4028,plans,538,DE×37 4×12 2×11 1×11 3×10 LE×8 5×7 DES×7 6×7 POUR×6 DU×5 AU×5 SORTIE×5 RACCORDEMENT×5 PAR×5 CABINET×5 CUIVRE×5 CONDUIT×4 7×4 PANNEAU×4 EXISTANT×4 CLIENT×4 LIENS×4 ET×4 CÂBLE×4,0 POUR SOUMISSIONS 2026-02-06 CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES FINS DE CONSTRUCTION. TÉLÉCOMMUNICATION Titre: Échelle: TÉLÉCOMMUNICATION CABLAGE
T101,Électrique_Plans pour soumission.pdf,10,3370.44,2383.92,5694x4028,plans,532,DE×30 1×12 4×12 PLANCHER×10 ET×9 LES×9 3×8 CM×8 CIRCUIT×8 120V×8 LE×7 PORTE×6 CONTRÔLE×6 DES×6 POUR×6 -×6 BO×5 BG×5 ENTREPLAFOND×5 ÉLÉVATION×5 ÉLECTRIFIÉE×5 B×5 A×5 GROUPE(S):×5 JUSQU'AU×5,0 POUR SOUMISSIONS 2026-02-06 CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES FINS DE CONSTRUCTION. TÉLÉCOMMUNICATION Titre: Échelle: TÉLÉCOMMUNICATION CABLAGE
T201,Électrique_Plans pour soumission.pdf,11,3370.44,2383.92,5694x4028,plans,548,POUR×17 DE×17 ET×13 A×12 B×12 BG×11 CONDUIT×11 5×8 VS×8 LE×8 21mmø×7 LES×7 DU×7 6×6 CONTRÔLE×6 PAR×6 CLI×5 1×5 DES×5 EN×5 9×4 SALLE×4 À×4 PANNEAU×4 FOURNIR×4,0 POUR SOUMISSIONS 2026-02-06 CES DOCUMENTS NE DOIVENT PAS ÊTRE UTILISÉS À DES FINS DE CONSTRUCTION. TÉLÉCOMMUNICATION Titre: Échelle: 1 : 100 TÉLÉCOMMUNICATION
