file,plan,scale_value,marks,line_len_px
EQUIJUSTICE RIVE-SUD (16-Août-2021)\EQUIJUSTICE RIVE-SUD (16-Août-2021) - Copie.qpl,21-153_ÉQUIJUSTICE RIVE-SUD_PLANS TECHNIQUES-D200,0,0,0.0
EQUIJUSTICE RIVE-SUD (16-Août-2021)\EQUIJUSTICE RIVE-SUD (16-Août-2021) - Copie.qpl,21-153_ÉQUIJUSTICE RIVE-SUD_PLANS TECHNIQUES-D500,0,1,0.0
EQUIJUSTICE RIVE-SUD (16-Août-2021)\EQUIJUSTICE RIVE-SUD (16-Août-2021) - Copie.qpl,Tuile acoustique Armstrong Georgian 2x2,0,0,0.0
Projet Soumission 2025\S-1305 - Litostroj Hydro Brossard\S-1305 Litostroj Hydro Brossard (7-Janvier-2025)\S-1305 Litostroj Hydro Brossard (7-Janvier-2025).qpl,03 Électrique - 1,0,0,0.0
Projet Soumission 2025\S-1305 - Litostroj Hydro Brossard\S-1305 Litostroj Hydro Brossard (7-Janvier-2025)\S-1305 Litostroj Hydro Brossard (7-Janvier-2025).qpl,03 Électrique - 2,0,0,0.0
Projet Soumission 2025\S-1305 - Litostroj Hydro Brossard\S-1305 Litostroj Hydro Brossard (7-Janvier-2025)\S-1305 Litostroj Hydro Brossard (7-Janvier-2025).qpl,03 Électrique - 3,0,0,0.0
Projet Soumission 2025\S-1305 - Litostroj Hydro Brossard\S-1305 Litostroj Hydro Brossard (7-Janvier-2025)\S-1305 Litostroj Hydro Brossard (7-Janvier-2025).qpl,03 Électrique - 4,"0,125",253,0.0
Projet Soumission 2025\S-1305 - Litostroj Hydro Brossard\S-1305 Litostroj Hydro Brossard (7-Janvier-2025)\S-1305 Litostroj Hydro Brossard (7-Janvier-2025).qpl,03 Électrique - 5,"0,125",189,0.0
Projet Soumission 2025\S-1305 - Litostroj Hydro Brossard\S-1305 Litostroj Hydro Brossard (7-Janvier-2025)\S-1305 Litostroj Hydro Brossard (7-Janvier-2025).qpl,03 Électrique - 6,"0,125",32,0.0
Projet Soumission 2025\S-1305 - Litostroj Hydro Brossard\S-1305 Litostroj Hydro Brossard (7-Janvier-2025)\S-1305 Litostroj Hydro Brossard (7-Janvier-2025).qpl,03 Électrique - 7,"0,125",20,0.0
