feuille,id,qte,famille
E08,SE,2,PRISE DE COURANT SIMPLE 30A-120/240V
E08,TE,2,SORTIE TELEPHONIQUE
E08,TH,12,THERMOSTAT (hors legende - R-001)
E08,TV,2,SORTIE POUR CABLO-DISTRIBUTION (TV)
E09,CH,36,APPAREIL DE CHAUFFAGE ELECTRIQUE EXISTANT
E09,I,14,COMMUTATEUR UNIPOLAIRE EXISTANT
E09,PC,20,PRISE DE COURANT DOUBLE EXISTANTE
E09,T,28,THERMOSTAT EXISTANT
E11,AF,4,AVERTISSEUR DE FUMEE MURAL 120V
E11,BJ,4,BOITE DE JONCTION POUR RACCORD (FUTURE) D'UN LAVE-VAISSELLE
E11,CP,4,PRISE DE COURANT POUR CUISINIERE 50A-120/240V
E11,CT,12,PRISE DE COURANT AU DESSUS D'UN COMPTOIR
E11,CU,28,COMMUTATEUR UNIPOLAIRE 15A-125V
E11,EV,4,EVACUATEUR DE TOILETTE. VOIR VENTILATION.
E11,GF,12,PRISE DE COURANT AVEC DISJONCTEUR DIFFERENTIEL DE FUITE A LA TERRE
E11,IC,4,INTERCOME (CONTROLE DE PORTE)
E11,LA,4,LUMINAIRE AU MUR TYPE A
E11,LB,4,LUMINAIRE AU PLAFOND TYPE B
E11,LC,4,LUMINAIRE LINEAIRE TYPE C
E11,LD,4,LUMINAIRE AU MUR TYPE D
E11,LE,4,LUMINAIRE AU PLAFOND TYPE E
E11,PC,32,PRISE DE COURANT DOUBLE 15A-125V
E11,PL,16,PLINTHE DE CHAUFFAGE (hors legende - R-001)
E11,PN,4,PANNEAU DE LOGEMENT (hors legende - R-001)
E11,RA,4,RACCORD DIRECT D'UN APPAREIL SPECIAL
E11,TE,4,SORTIE TELEPHONIQUE
E11,TH,16,THERMOSTAT (hors legende - R-001)
E11,TV,4,SORTIE POUR CABLO-DISTRIBUTION (TV)
E12,CH,41,APPAREIL DE CHAUFFAGE ELECTRIQUE EXISTANT
E12,I,15,COMMUTATEUR UNIPOLAIRE EXISTANT
E12,PC,18,PRISE DE COURANT DOUBLE EXISTANTE
E12,T,33,THERMOSTAT EXISTANT
E14,AF,4,AVERTISSEUR DE FUMEE MURAL 120V
E14,BJ,4,BOITE DE JONCTION POUR RACCORD (FUTURE) D'UN LAVE-VAISSELLE
E14,CP,4,PRISE DE COURANT POUR CUISINIERE 50A-120/240V
E14,CT,12,PRISE DE COURANT AU DESSUS D'UN COMPTOIR
E14,CU,28,COMMUTATEUR UNIPOLAIRE 15A-125V
E14,EV,4,EVACUATEUR DE TOILETTE. VOIR VENTILATION.
E14,GF,12,PRISE DE COURANT AVEC DISJONCTEUR DIFFERENTIEL DE FUITE A LA TERRE
E14,IC,4,INTERCOME (CONTROLE DE PORTE)
E14,LA,4,LUMINAIRE AU MUR TYPE A
E14,LB,4,LUMINAIRE AU PLAFOND TYPE B
E14,LC,4,LUMINAIRE LINEAIRE TYPE C
E14,LD,4,LUMINAIRE AU MUR TYPE D
E14,LE,4,LUMINAIRE AU PLAFOND TYPE E
E14,PC,32,PRISE DE COURANT DOUBLE 15A-125V
E14,PL,16,PLINTHE DE CHAUFFAGE (hors legende - R-001)
E14,PN,4,PANNEAU DE LOGEMENT (hors legende - R-001)
E14,RA,4,RACCORD DIRECT D'UN APPAREIL SPECIAL
E14,TE,4,SORTIE TELEPHONIQUE
E14,TH,16,THERMOSTAT (hors legende - R-001)
E14,TV,4,SORTIE POUR CABLO-DISTRIBUTION (TV)
